iter	Passed	Remaining
0	57	57747
1	58	28964
2	58	19362
3	58	14572
4	58	11702
5	59	9787
6	59	8410
7	59	7378
8	59	6575
9	59	5934
10	60	5409
11	60	4971
12	60	4603
13	60	4287
14	61	4015
15	61	3774
16	61	3560
17	61	3370
18	61	3199
19	62	3045
20	62	2907
21	62	2781
22	62	2665
23	62	2559
24	63	2463
25	63	2374
26	63	2291
27	63	2213
28	63	2141
29	64	2075
30	64	2012
31	64	1953
32	64	1898
33	64	1846
34	65	1797
35	65	1750
36	65	1707
37	65	1666
38	66	1627
39	66	1590
40	66	1554
41	66	1520
42	66	1487
43	67	1456
44	67	1427
45	67	1398
46	67	1372
47	67	1345
48	68	1320
49	68	1297
50	68	1273
51	68	1251
52	68	1230
53	69	1209
54	69	1190
55	69	1171
56	69	1153
57	69	1135
58	70	1117
59	70	1100
60	70	1085
61	70	1069
62	70	1054
63	71	1039
64	71	1025
65	71	1011
66	71	998
67	71	985
68	72	972
69	72	960
70	72	948
71	72	937
72	72	925
73	73	914
74	73	904
75	73	894
76	73	884
77	73	873
78	74	864
79	74	854
80	74	845
81	74	836
82	74	826
83	75	817
84	75	809
85	75	801
86	75	793
87	75	785
88	76	778
89	76	770
90	76	763
91	76	755
92	76	748
93	77	742
94	77	735
95	77	728
96	77	722
97	77	716
98	78	710
99	78	704
100	78	697
101	78	692
102	78	686
103	79	680
104	79	675
105	79	669
106	79	664
107	79	659
108	80	654
109	80	649
110	80	644
111	80	639
112	80	634
113	81	629
114	81	625
115	81	620
116	81	616
117	81	611
118	82	607
119	82	602
120	82	598
121	82	593
122	82	589
123	82	585
124	83	581
125	83	578
126	83	573
127	83	570
128	83	566
129	84	562
130	84	559
131	84	555
132	84	552
133	85	549
134	85	546
135	85	543
136	85	540
137	86	537
138	86	534
139	86	530
140	86	527
141	86	524
142	86	521
143	87	518
144	87	515
145	87	512
146	87	509
147	88	506
148	88	504
149	88	501
150	88	499
151	89	497
152	89	494
153	89	491
154	89	488
155	89	486
156	90	484
157	90	482
158	90	479
159	90	477
160	90	474
161	91	471
162	91	469
163	91	466
164	91	464
165	92	462
166	92	459
167	92	457
168	92	455
169	92	453
170	92	450
171	93	448
172	93	446
173	93	444
174	93	442
175	93	439
176	94	437
177	94	435
178	94	433
179	94	431
180	94	429
181	95	427
182	95	425
183	95	423
184	95	421
185	95	419
186	96	418
187	96	416
188	96	414
189	96	412
190	97	410
191	97	409
192	97	407
193	97	405
194	97	404
195	98	402
196	98	400
197	98	399
198	98	397
199	98	395
200	99	394
201	99	393
202	99	391
203	99	390
204	100	388
205	100	386
206	100	385
207	100	383
208	100	382
209	101	380
210	101	378
211	101	377
212	101	375
213	101	374
214	102	372
215	102	371
216	102	370
217	102	368
218	102	367
219	103	365
220	103	364
221	103	363
222	103	361
223	103	360
224	104	358
225	104	357
226	104	356
227	104	354
228	104	353
229	105	352
230	105	351
231	105	350
232	105	348
233	106	347
234	106	346
235	106	344
236	106	343
237	106	342
238	107	341
239	107	339
240	107	338
241	107	337
242	107	336
243	108	335
244	108	333
245	108	332
246	108	331
247	108	330
248	109	329
249	109	328
250	109	326
251	109	325
252	109	324
253	110	323
254	110	322
255	110	321
256	110	320
257	111	319
258	111	318
259	111	317
260	111	316
261	111	315
262	112	313
263	112	312
264	112	311
265	112	310
266	112	309
267	113	308
268	113	307
269	113	306
270	113	305
271	113	304
272	114	303
273	114	304
274	115	303
275	115	302
276	115	301
277	115	300
278	115	299
279	116	298
280	116	297
281	116	296
282	116	295
283	116	294
284	116	293
285	117	292
286	117	291
287	117	290
288	117	289
289	117	288
290	118	287
291	118	286
292	118	285
293	118	285
294	118	284
295	119	283
296	119	282
297	119	281
298	119	280
299	119	279
300	120	278
301	120	278
302	120	277
303	120	276
304	120	275
305	121	274
306	121	273
307	121	272
308	121	272
309	121	271
310	122	270
311	122	269
312	122	268
313	122	267
314	122	267
315	123	266
316	123	265
317	123	264
318	123	263
319	123	263
320	123	262
321	124	261
322	124	260
323	124	259
324	124	259
325	124	258
326	125	257
327	125	256
328	125	256
329	125	255
330	125	254
331	126	253
332	126	253
333	126	252
334	126	251
335	126	250
336	127	250
337	127	249
338	127	248
339	127	248
340	127	247
341	128	246
342	128	246
343	128	245
344	128	244
345	129	243
346	129	243
347	129	242
348	129	241
349	129	241
350	130	240
351	130	239
352	130	239
353	130	238
354	130	237
355	130	236
356	131	236
357	131	235
358	131	234
359	131	234
360	131	233
361	132	232
362	132	232
363	132	231
364	132	230
365	132	230
366	133	229
367	133	229
368	133	228
369	133	227
370	133	227
371	134	226
372	134	225
373	134	225
374	134	224
375	134	223
376	135	223
377	135	222
378	135	222
379	135	221
380	135	220
381	136	220
382	136	219
383	136	219
384	136	218
385	137	217
386	137	217
387	137	216
388	137	216
389	137	215
390	138	214
391	138	214
392	138	213
393	138	213
394	138	212
395	139	212
396	139	211
397	139	210
398	139	210
399	139	209
400	140	209
401	140	208
402	140	207
403	140	207
404	140	206
405	140	206
406	141	205
407	141	205
408	141	204
409	141	203
410	141	203
411	142	202
412	142	202
413	142	201
414	142	201
415	142	200
416	143	200
417	143	199
418	143	198
419	143	198
420	143	197
421	144	197
422	144	196
423	144	196
424	144	195
425	144	195
426	145	194
427	145	194
428	145	193
429	145	193
430	146	192
431	146	192
432	146	191
433	146	191
434	147	190
435	147	190
436	147	189
437	147	189
438	147	188
439	148	188
440	148	187
441	148	187
442	148	186
443	148	186
444	149	185
445	149	185
446	149	184
447	149	184
448	149	183
449	150	183
450	150	182
451	150	182
452	150	181
453	150	181
454	151	180
455	151	180
456	151	179
457	151	179
458	151	178
459	152	178
460	152	177
461	152	177
462	152	176
463	152	176
464	152	175
465	153	175
466	153	175
467	153	174
468	153	174
469	153	173
470	154	173
471	154	172
472	154	172
473	154	171
474	154	171
475	155	170
476	155	170
477	155	169
478	155	169
479	155	168
480	156	168
481	156	167
482	156	167
483	156	167
484	156	166
485	157	166
486	157	165
487	157	165
488	157	164
489	157	164
490	158	163
491	158	163
492	158	162
493	158	162
494	158	162
495	159	161
496	159	161
497	159	160
498	159	160
499	159	159
500	160	159
501	160	159
502	160	158
503	160	158
504	160	157
505	161	157
506	161	156
507	161	156
508	161	155
509	161	155
510	162	155
511	162	154
512	162	154
513	162	153
514	162	153
515	163	153
516	163	152
517	163	152
518	163	151
519	163	151
520	164	150
521	164	150
522	164	150
523	164	149
524	164	149
525	165	148
526	165	148
527	165	147
528	165	147
529	165	147
530	166	146
531	166	146
532	166	145
533	166	145
534	166	145
535	167	144
536	167	144
537	167	143
538	167	143
539	167	142
540	167	142
541	168	142
542	168	141
543	168	141
544	168	140
545	168	140
546	169	140
547	169	139
548	169	139
549	169	139
550	170	138
551	170	138
552	170	137
553	170	137
554	170	137
555	171	136
556	171	136
557	171	135
558	171	135
559	171	135
560	172	134
561	172	134
562	172	133
563	172	133
564	172	133
565	173	132
566	173	132
567	173	131
568	173	131
569	173	131
570	174	130
571	174	130
572	174	129
573	174	129
574	174	129
575	175	128
576	175	128
577	175	128
578	175	127
579	175	127
580	176	126
581	176	126
582	176	126
583	176	125
584	176	125
585	176	125
586	177	124
587	177	124
588	177	123
589	177	123
590	177	123
591	178	122
592	178	122
593	178	122
594	178	121
595	178	121
596	179	120
597	179	120
598	179	120
599	179	119
600	179	119
601	180	119
602	180	118
603	180	118
604	180	117
605	180	117
606	180	117
607	181	116
608	181	116
609	181	116
610	181	115
611	181	115
612	182	114
613	182	114
614	182	114
615	182	113
616	182	113
617	183	113
618	183	112
619	183	112
620	183	112
621	183	111
622	184	111
623	184	111
624	184	110
625	184	110
626	184	109
627	185	109
628	185	109
629	185	108
630	185	108
631	185	108
632	185	107
633	186	107
634	186	107
635	186	106
636	186	106
637	186	106
638	187	105
639	187	105
640	187	105
641	187	104
642	187	104
643	188	103
644	188	103
645	188	103
646	188	102
647	188	102
648	189	102
649	189	101
650	189	101
651	190	101
652	190	101
653	190	100
654	190	100
655	191	100
656	191	99
657	191	99
658	191	99
659	191	98
660	192	98
661	192	98
662	192	97
663	192	97
664	193	97
665	193	96
666	193	96
667	193	96
668	193	95
669	194	95
670	194	95
671	194	94
672	194	94
673	194	94
674	195	93
675	195	93
676	195	93
677	195	92
678	195	92
679	196	92
680	196	91
681	196	91
682	196	91
683	196	90
684	197	90
685	197	90
686	197	89
687	197	89
688	197	89
689	198	88
690	198	88
691	198	88
692	198	88
693	198	87
694	199	87
695	199	87
696	199	86
697	199	86
698	199	86
699	199	85
700	200	85
701	200	85
702	200	84
703	200	84
704	200	84
705	201	83
706	201	83
707	201	83
708	201	82
709	201	82
710	202	82
711	202	81
712	202	81
713	202	81
714	203	80
715	203	80
